mode,effect_sd,lag_min,seed,horizon_min,p_value,positive_folds,post_only,pre_only,pass_bonferroni
injected,0.5,30.0,14,120,0.24342512083239853,3.0,19.0,14.0,False
injected_any,0.5,30.0,14,0,,,,,False
injected,0.5,30.0,15,30,0.19576415256597102,2.0,20.0,14.0,False
injected,0.5,30.0,15,60,0.43731465619021037,2.0,21.0,19.0,False
injected,0.5,30.0,15,120,0.1481031842995435,3.0,20.0,13.0,False
injected_any,0.5,30.0,15,0,,,,,False
injected,0.5,30.0,16,30,0.6864487149214256,1.0,18.0,20.0,False
injected,0.5,30.0,16,60,0.5,2.0,23.0,22.0,False
injected,0.5,30.0,16,120,0.2025161230703816,3.0,21.0,15.0,False
injected_any,0.5,30.0,16,0,,,,,False
injected,0.5,30.0,17,30,0.087732624495402,3.0,22.0,13.0,False
injected,0.5,30.0,17,60,0.44149795606119824,2.0,24.0,22.0,False
injected,0.5,30.0,17,120,0.087732624495402,3.0,22.0,13.0,False
injected_any,0.5,30.0,17,0,,,,,False
injected,0.5,30.0,18,30,0.1481031842995435,3.0,20.0,13.0,False
injected,0.5,30.0,18,60,0.21479525392169307,3.0,23.0,17.0,False
injected,0.5,30.0,18,120,0.10024421103298667,3.0,19.0,11.0,False
injected_any,0.5,30.0,18,0,,,,,False
injected,0.5,30.0,19,30,0.3714146793645341,3.0,20.0,17.0,False
injected,0.5,30.0,19,60,0.17444443972453882,3.0,24.0,17.0,False
injected,0.5,30.0,19,120,0.06103906035423279,3.0,18.0,9.0,False
injected_any,0.5,30.0,19,0,,,,,False
injected,0.5,30.0,20,30,0.12149247701745483,3.0,22.0,14.0,False
injected,0.5,30.0,20,60,0.43570733968226705,3.0,20.0,18.0,False
injected,0.5,30.0,20,120,0.11474050651304424,3.0,21.0,13.0,False
injected_any,0.5,30.0,20,0,,,,,False
injected,0.5,30.0,21,30,0.2088460954182665,3.0,22.0,16.0,False
injected,0.5,30.0,21,60,0.235439506810856,3.0,27.0,21.0,False
injected,0.5,30.0,21,120,0.11474050651304424,3.0,21.0,13.0,False
injected_any,0.5,30.0,21,0,,,,,False
injected,0.5,30.0,22,30,0.3714146793645341,3.0,20.0,17.0,False
injected,0.5,30.0,22,60,0.22569041619806285,3.0,25.0,19.0,False
injected,0.5,30.0,22,120,0.07480639219284058,3.0,20.0,11.0,False
injected_any,0.5,30.0,22,0,,,,,False
injected,0.5,30.0,23,30,0.1279375397716649,3.0,23.0,15.0,False
